"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","352","get all people returns paginated results","","Tue Mar 31 19:39:54 UTC 2026","passed","Tue Mar 31 19:39:54 UTC 2026","People – List","people.spec.ts","",""
"","688","planet residents are valid people","","Tue Mar 31 19:40:06 UTC 2026","passed","Tue Mar 31 19:40:07 UTC 2026","Cross-Resource – Chaining","parametrized.spec.ts","",""
"","619","get all species returns paginated results","","Tue Mar 31 19:39:58 UTC 2026","passed","Tue Mar 31 19:39:59 UTC 2026","Species – List","species.spec.ts","",""
"","188","non-existent vehicle returns 404","","Tue Mar 31 19:40:09 UTC 2026","passed","Tue Mar 31 19:40:10 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","383","species has people","","Tue Mar 31 19:40:05 UTC 2026","passed","Tue Mar 31 19:40:05 UTC 2026","Species – Detail","species.spec.ts","",""
"","362","get vehicle by ID returns Sand Crawler","","Tue Mar 31 19:40:08 UTC 2026","passed","Tue Mar 31 19:40:09 UTC 2026","Vehicles – Detail","vehicles.spec.ts","",""
"","391","starships page size is at most 10","","Tue Mar 31 19:39:59 UTC 2026","passed","Tue Mar 31 19:40:00 UTC 2026","Starships – List","starships.spec.ts","",""
"","254","starship has a hyperdrive rating","","Tue Mar 31 19:40:05 UTC 2026","passed","Tue Mar 31 19:40:05 UTC 2026","Starships – Detail","starships.spec.ts","",""
"","210","get person by ID returns Luke Skywalker","","Tue Mar 31 19:39:58 UTC 2026","passed","Tue Mar 31 19:39:58 UTC 2026","People – Detail","people.spec.ts","",""
"","216","non-existent species returns 404","","Tue Mar 31 19:40:06 UTC 2026","passed","Tue Mar 31 19:40:06 UTC 2026","Species – Detail","species.spec.ts","",""
"","873","search starships by name returns matching results","","Tue Mar 31 19:40:02 UTC 2026","passed","Tue Mar 31 19:40:03 UTC 2026","Starships – List","starships.spec.ts","",""
"","215","get film by ID returns A New Hope","","Tue Mar 31 19:39:53 UTC 2026","passed","Tue Mar 31 19:39:53 UTC 2026","Films – Detail","films.spec.ts","",""
